,word,POS,EN_translation,lidwoord
0,ik,VNW,I,
1,de,LID,"the (definite article, for de-woorden)",
2,je,VNW,you,
3,het,LID,"the (definite article, for het-woorden)",
4,het,VNW,it,
5,een,N,a,het
6,een,LID,a/an (indefinite article),
7,is,WW,is,
8,dat,VNW,Which,
9,en,VG,and,
10,niet,BW,not,
11,van,VZ,from,
12,in,VZ,in,
13,op,VZ,on,
14,met,VZ,with,
15,te,VZ,to,
16,voor,VZ,in front of,
17,wat,VNW,what,
18,maar,BW,but,
19,er,BW,there,
20,zijn,VNW,to be,
21,zijn,WW,to be,
22,die,VNW,That,
23,ze,VNW,they,
24,als,VZ,as,
25,hij,VNW,he,
26,ook,BW,also,
27,nog,BW,yet,
28,om,VZ,to,
29,aan,VZ,On,
30,dan,BW,than,
31,naar,VZ,to,
32,me,VNW,me,
33,wel,BW,well,
34,zo,BW,so,
35,mijn,VNW,my,
36,bij,VZ,Bee,
37,dit,VNW,this,
38,nu,BW,now,
39,geen,N,no,het
40,al,BW,already,
41,over,VZ,about,
42,uit,VZ,from,
43,hebben,WW,to have,
44,goed,ADJ,good,
45,of,VG,or,
46,hier,BW,here,
47,jij,VNW,you,
48,weer,BW,again,
49,ja,TSW,Yes,
50,meer,VNW,Lake,
51,waar,BW,true,
52,hoe,BW,how,
53,hem,VNW,him,
54,gaan,WW,to go,
55,door,VZ,by,
56,daar,BW,over there,
57,doen,WW,to do,
58,haar,VNW,her,
59,mij,VNW,me,
60,zou,WW,would,
61,deze,VNW,this one,
62,toch,BW,However,
63,had,WW,had,
64,nee,TSW,No,
65,veel,VNW,a lot of,
66,ons,VNW,U.S,
67,dus,BW,So,
68,iets,VNW,something,
69,kunnen,WW,being able,
70,jullie,VNW,you,
71,even,BW,for a bit,
72,tot,VZ,until,
73,worden,WW,turn into,
74,wordt,WW,is going to be,
75,eens,BW,once,
76,echt,ADJ,really,
77,mee,VZ,along,
78,laat,ADJ,late,
79,heel,ADJ,very,
80,moeten,WW,should,
81,wie,VNW,Who,
82,alleen,BW,only,
83,alles,VNW,everything,
84,zien,WW,see,
85,waarom,BW,why,
86,jaar,N,year,het
87,komt,WW,coming,
88,mensen,N,people,het
89,maken,WW,to make,
90,leuk,ADJ,fun,
91,dag,N,day,de
92,komen,WW,come,
93,weg,BW,away,
94,net,BW,just,
95,na,VZ,after,
96,jou,VNW,you,
97,tegen,VZ,against,
98,tijd,N,time,de
99,terug,BW,back,
100,nieuwe,ADJ,new ones,
101,vandaag,BW,today,
102,zich,VNW,herself,
103,nou,BW,Well,
104,nooit,BW,never,
105,wij,VNW,we,
106,laten,WW,let,
107,altijd,BW,always,
108,twee,TW,two,
109,man,N,man,de
110,hun,VNW,their,
111,misschien,BW,perhaps,
112,gewoon,ADJ,just,
113,andere,ADJ,Others,
114,toen,BW,then,
115,niets,VNW,nothing,
116,iemand,VNW,someone,
117,af,VZ,off,
118,omdat,VG,because,
119,erg,ADJ,very,
120,mag,WW,allowed,
121,mooi,ADJ,beautiful,
122,lekker,ADJ,yummy,
123,leven,WW,life,
124,zeker,ADJ,sure,
125,alle,ADJ,all,
126,keer,N,times,de
127,zeggen,WW,say,
128,weten,WW,know,
129,werd,WW,became,
130,eerste,ADJ,first,
131,allemaal,BW,all of them,
132,nodig,ADJ,required,
133,dank,N,thanks,
134,morgen,BW,tomorrow,
135,onder,VZ,below,
136,huis,N,House,het
137,zoals,VG,like,
138,anders,BW,different,
139,zelf,BW,self,
140,gedaan,ADJ,done,
141,hoor,TSW,hear,
142,zij,VNW,she,
143,helemaal,BW,all the way,
144,want,VG,because,
145,werk,N,work,het
146,hele,ADJ,whole,
147,doet,WW,is doing,
148,willen,WW,want,
149,waren,WW,goods,
150,binnen,VZ,within,
151,uw,VNW,your,
152,week,N,week,de
153,natuurlijk,ADJ,of course,
154,zitten,WW,to sit,
155,iedereen,VNW,everybody,
156,toe,VZ,to,
157,grote,ADJ,great,
158,kijken,WW,look,
159,volgens,VZ,according to,
160,uur,N,hour,het
161,steeds,BW,always,
162,goede,ADJ,good,
163,oké,ADJ,Okay,
164,graag,BW,gladly,
165,elkaar,VNW,each other,
166,snel,ADJ,fast,
