,word,POS,EN_translation
0,ik,VNW,I
1,de,LID,"the (definite article, for de-woorden)"
2,je,VNW,you
3,het,LID,"the (definite article, for het-woorden)"
4,het,VNW,it
5,een,N,a
6,een,LID,a/an (indefinite article)
7,is,WW,is
8,dat,VNW,Which
9,en,VG,and
10,niet,BW,not
11,van,VZ,from
12,in,VZ,in
13,op,VZ,on
14,met,VZ,with
15,te,VZ,to
16,voor,VZ,in front of
17,wat,VNW,what
18,maar,BW,but
19,er,BW,there
20,zijn,VNW,to be
21,zijn,WW,to be
22,die,VNW,That
23,ze,VNW,they
24,als,VZ,as
25,hij,VNW,he
26,heb,N,have got
27,ook,BW,also
28,nog,BW,yet
29,om,VZ,to
30,aan,VZ,On
31,dan,BW,than
32,naar,VZ,to
33,me,VNW,me
34,was,N,used to be
35,wel,BW,well
36,zo,BW,so
37,ben,WW,am
38,mijn,VNW,my
39,bij,VZ,Bee
40,dit,VNW,this
41,kan,N,can
42,nu,BW,now
43,heeft,N,has
44,geen,N,no
45,al,BW,already
46,over,VZ,about
47,uit,VZ,from
48,hebben,WW,to have
49,goed,ADJ,good
50,moet,N,must
51,of,VG,or
52,hier,BW,here
53,jij,VNW,you
54,wil,N,want
55,weet,N,know
56,weer,BW,again
57,ja,N,Yes
58,meer,N,Lake
59,waar,BW,true
60,hoe,BW,how
61,hem,VNW,him
62,gaan,WW,to go
63,door,VZ,by
64,daar,BW,over there
65,doen,WW,to do
66,haar,VNW,her
67,mij,VNW,me
68,ga,N,go
69,zou,WW,would
70,deze,VNW,this one
71,toch,BW,However
72,had,WW,had
73,nee,N,No
74,veel,VNW,a lot of
75,ons,VNW,U.S
76,dus,BW,So
77,iets,VNW,something
78,kunnen,WW,being able
79,jullie,VNW,you
80,bent,N,are
81,even,BW,for a bit
82,tot,VZ,until
83,worden,WW,turn into
84,wordt,WW,is going to be
85,kom,N,come
86,eens,BW,once
87,echt,ADJ,really
88,mee,VZ,along
89,laat,ADJ,late
90,heel,ADJ,very
91,moeten,WW,should
92,wie,VNW,Who
93,alleen,BW,only
94,alles,VNW,everything
95,zien,WW,see
96,waarom,BW,why
97,jaar,N,year
98,komt,WW,coming
99,mensen,N,people
100,maken,WW,to make
101,leuk,ADJ,fun
102,doe,N,do
103,dag,N,day
104,komen,WW,come
105,weg,BW,away
106,net,BW,just
107,na,VZ,after
108,jou,VNW,you
109,denk,N,think
110,tegen,VZ,against
111,tijd,N,time
112,terug,BW,back
113,nieuwe,ADJ,new ones
114,vandaag,BW,today
115,zich,VNW,herself
116,nou,BW,Well
117,nooit,BW,never
118,wij,VNW,we
119,laten,WW,let
120,altijd,BW,always
121,twee,TW,two
122,man,N,man
123,zit,N,sits
124,hun,VNW,their
125,misschien,BW,perhaps
126,gewoon,ADJ,just
127,andere,ADJ,Others
128,toen,BW,then
129,niets,VNW,nothing
130,iemand,VNW,someone
131,af,VZ,off
132,omdat,VG,because
133,erg,ADJ,very
134,mag,WW,allowed
135,mooi,ADJ,beautiful
136,staat,N,state
137,lekker,ADJ,yummy
138,leven,WW,life
139,zeker,ADJ,sure
140,alle,ADJ,all
141,keer,N,times
142,zeggen,WW,say
143,weten,WW,know
144,werd,WW,became
145,eerste,ADJ,first
146,allemaal,BW,all of them
147,zeg,N,say
148,zie,N,see
149,nodig,ADJ,required
150,vind,N,find
151,dank,N,thanks
152,morgen,BW,tomorrow
153,onder,VZ,below
154,huis,N,House
155,zoals,VG,like
156,anders,BW,different
157,zelf,BW,self
158,gedaan,ADJ,done
159,hoor,N,hear
160,kijk,N,look
161,zij,VNW,she
162,helemaal,BW,all the way
163,want,VG,because
164,werk,N,work
165,hou,N,love
166,hele,ADJ,whole
167,doet,WW,is doing
168,willen,WW,want
169,waren,WW,goods
170,binnen,VZ,within
171,uw,VNW,your
172,week,N,week
173,natuurlijk,ADJ,of course
174,zitten,WW,to sit
175,iedereen,VNW,everybody
176,toe,VZ,to
177,grote,N,great
178,kijken,WW,look
179,volgens,VZ,according to
180,uur,N,hour
181,steeds,BW,always
182,goede,ADJ,good
183,oké,ADJ,Okay
184,kunt,N,can
185,graag,BW,gladly
186,elkaar,VNW,each other
187,snel,ADJ,fast
